epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.48078,1.12853,0.47917,1,1.01266,0.00015719,0.00015719,0.00015719
2,14.9132,0.93969,0.6875,1,0.77177,0.000317824,0.000317824,0.000317824
3,22.1381,0.73199,0.8125,1,0.52072,0.00046714,0.00046714,0.00046714
4,29.1992,0.5929,0.83333,1,0.44331,0.000605139,0.000605139,0.000605139
5,36.319,0.53554,0.85417,1,0.4149,0.000731819,0.000731819,0.000731819
6,43.3657,0.41751,0.85417,1,0.37313,0.000847183,0.000847183,0.000847183
7,50.3615,0.39205,0.83333,1,0.2553,0.000951228,0.000951228,0.000951228
8,57.2986,0.34987,0.85417,1,0.27999,0.00104396,0.00104396,0.00104396
9,64.1799,0.32291,0.89583,1,0.26477,0.00105174,0.00105174,0.00105174
10,71.1512,0.27605,0.875,1,0.19355,0.00100459,0.00100459,0.00100459
11,78.2043,0.37006,0.85417,1,0.28298,0.00095743,0.00095743,0.00095743
12,85.2004,0.25474,0.8125,1,0.48648,0.000910273,0.000910273,0.000910273
13,92.1304,0.31021,0.89583,1,0.21576,0.000863116,0.000863116,0.000863116
14,99.1168,0.31864,0.91667,1,0.16218,0.000815959,0.000815959,0.000815959
15,106.069,0.25598,0.91667,1,0.109,0.000768802,0.000768802,0.000768802
16,112.992,0.25191,0.91667,1,0.13536,0.000721645,0.000721645,0.000721645
17,120.004,0.23477,0.9375,1,0.13238,0.000674488,0.000674488,0.000674488
18,126.871,0.23694,0.9375,1,0.16181,0.000627331,0.000627331,0.000627331
19,133.973,0.21364,0.9375,1,0.19968,0.000580174,0.000580174,0.000580174
20,141.059,0.25357,0.95833,1,0.15349,0.000533017,0.000533017,0.000533017
21,148.046,0.24177,0.95833,1,0.11668,0.00048586,0.00048586,0.00048586
22,155.017,0.26786,0.95833,1,0.13522,0.000438703,0.000438703,0.000438703
23,161.934,0.20903,0.91667,1,0.18568,0.000391546,0.000391546,0.000391546
24,168.889,0.1921,0.91667,1,0.20092,0.000344389,0.000344389,0.000344389
25,175.947,0.18156,0.91667,1,0.28667,0.000297232,0.000297232,0.000297232
26,183.001,0.15503,0.91667,1,0.23479,0.000250075,0.000250075,0.000250075
27,189.978,0.17216,0.91667,1,0.32331,0.000202918,0.000202918,0.000202918
28,197.283,0.17556,0.9375,1,0.26269,0.000155761,0.000155761,0.000155761
29,204.358,0.22405,0.9375,1,0.23998,0.000108604,0.000108604,0.000108604
30,211.401,0.1767,0.95833,1,0.16528,6.1447e-05,6.1447e-05,6.1447e-05
