epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.0658,1.07525,0.62766,1,0.92122,0.00020006,0.00020006,0.00020006
2,24.1724,0.87021,0.81915,1,0.55881,0.000406205,0.000406205,0.000406205
3,33.9337,0.65069,0.91489,1,0.29021,0.000603861,0.000603861,0.000603861
4,44.6245,0.48237,0.91489,1,0.20968,0.000793029,0.000793029,0.000793029
5,54.174,0.38539,0.91489,1,0.24942,0.000973709,0.000973709,0.000973709
6,64.3632,0.35448,0.94681,1,0.18331,0.0011459,0.0011459,0.0011459
7,73.7662,0.31096,0.96809,1,0.13489,0.00125923,0.00125923,0.00125923
8,82.8346,0.33725,0.98936,1,0.10998,0.00123094,0.00123094,0.00123094
9,92.4433,0.32587,0.93617,1,0.17292,0.00120265,0.00120265,0.00120265
10,101.584,0.28466,0.96809,1,0.07845,0.00117435,0.00117435,0.00117435
11,110.927,0.25309,0.95745,1,0.08498,0.00114606,0.00114606,0.00114606
12,120.211,0.30705,0.94681,1,0.14901,0.00111776,0.00111776,0.00111776
13,129.27,0.28012,0.98936,1,0.07552,0.00108947,0.00108947,0.00108947
14,138.567,0.22645,0.97872,1,0.06111,0.00106118,0.00106118,0.00106118
15,147.712,0.25535,0.97872,1,0.0624,0.00103288,0.00103288,0.00103288
16,157.567,0.26932,0.98936,1,0.06282,0.00100459,0.00100459,0.00100459
17,166.931,0.25505,0.97872,1,0.04876,0.000976293,0.000976293,0.000976293
18,176.092,0.21775,0.97872,1,0.05723,0.000947999,0.000947999,0.000947999
19,185.474,0.21371,0.96809,1,0.06659,0.000919704,0.000919704,0.000919704
20,195.252,0.24559,0.93617,1,0.16174,0.00089141,0.00089141,0.00089141
21,204.59,0.1968,0.97872,1,0.07057,0.000863116,0.000863116,0.000863116
22,214.28,0.23107,0.98936,1,0.03437,0.000834822,0.000834822,0.000834822
23,223.89,0.20818,0.98936,1,0.03944,0.000806528,0.000806528,0.000806528
24,233.08,0.17607,0.98936,1,0.02848,0.000778233,0.000778233,0.000778233
25,242.385,0.18963,0.98936,1,0.03805,0.000749939,0.000749939,0.000749939
26,251.459,0.19109,0.97872,1,0.05704,0.000721645,0.000721645,0.000721645
27,260.795,0.14281,0.98936,1,0.05113,0.000693351,0.000693351,0.000693351
28,270.099,0.18111,0.98936,1,0.04112,0.000665057,0.000665057,0.000665057
29,279.251,0.18124,0.98936,1,0.03546,0.000636762,0.000636762,0.000636762
30,288.541,0.12863,0.98936,1,0.03941,0.000608468,0.000608468,0.000608468
31,297.678,0.16425,0.98936,1,0.03831,0.000580174,0.000580174,0.000580174
32,307.135,0.17972,0.98936,1,0.03953,0.00055188,0.00055188,0.00055188
33,316.259,0.13149,0.98936,1,0.03814,0.000523586,0.000523586,0.000523586
34,325.476,0.19284,0.98936,1,0.03408,0.000495291,0.000495291,0.000495291
35,335.136,0.13861,0.98936,1,0.03286,0.000466997,0.000466997,0.000466997
36,344.756,0.14404,0.98936,1,0.03477,0.000438703,0.000438703,0.000438703
37,353.869,0.11256,0.98936,1,0.03551,0.000410409,0.000410409,0.000410409
38,363.327,0.20221,0.98936,1,0.03191,0.000382115,0.000382115,0.000382115
39,372.83,0.12453,0.98936,1,0.02599,0.00035382,0.00035382,0.00035382
40,382.317,0.12625,0.98936,1,0.0269,0.000325526,0.000325526,0.000325526
41,392.09,0.157,0.98936,1,0.02664,0.000297232,0.000297232,0.000297232
42,401.252,0.1028,0.98936,1,0.02567,0.000268938,0.000268938,0.000268938
43,410.614,0.15444,0.98936,1,0.02627,0.000240644,0.000240644,0.000240644
44,419.917,0.10206,0.98936,1,0.02935,0.000212349,0.000212349,0.000212349
45,428.919,0.12614,0.98936,1,0.03073,0.000184055,0.000184055,0.000184055
46,438.453,0.14676,0.98936,1,0.03084,0.000155761,0.000155761,0.000155761
47,447.522,0.09735,0.98936,1,0.02769,0.000127467,0.000127467,0.000127467
48,456.853,0.11651,0.98936,1,0.02824,9.91726e-05,9.91726e-05,9.91726e-05
49,466.081,0.15182,0.98936,1,0.02609,7.08784e-05,7.08784e-05,7.08784e-05
50,475.252,0.14507,0.98936,1,0.02662,4.25842e-05,4.25842e-05,4.25842e-05
